31
43
0 0 0
1 10 0
2 20 0
3 30 0
4 40 0
5 50 0
6 60 0
7 70 0
8 80 0
9 90 0
10 100 0
11 110 0
12 120 0
13 130 0
14 140 0
15 140 120
16 130 140
17 120 140
18 110 140
19 100 140
20 90 140
21 80 140
22 70 140
23 60 140
24 50 150
25 40 150
26 30 150
27 20 150
28 10 150
29 0 150
30 0 120
0 1 no 0
1 2 no 0
2 3 no 0
3 4 no 0
4 5 no 0
6 7 no 0
7 8 no 0
8 9 no 0
9 10 no 0
10 11 no 0
11 12 no 0
12 13 no 0
13 14 no 0
14 15 no 1
13 16 no 1
12 17 no 1
11 18 no 1
10 19 no 1
9 20 no 1
8 21 no 1
7 22 no 1
6 23 no 1
5 24 no 1
4 25 no 1
3 26 no 1
2 27 no 1
1 28 no 1
29 30 no 0
0 30 no 1
15 16 no 0
16 17 no 0
17 18 no 0
18 19 no 0
19 20 no 0
20 21 no 0
21 22 no 0
22 23 no 0
23 24 no 0
24 25 no 0
25 26 no 0
26 27 no 0
27 28 no 0
28 29 no 0
