34
50
0 0 0
1 10 -10
2 20 -18
3 30 -25
4 40 -30
5 50 -35
6 60 -40
7 70 -41
8 95 -41
9 105 -40
10 115 -35
11 125 -30
12 135 -25
13 145 -18
14 155 -10
15 165 0
16 70 -20
17 95 -20
18 70 0
19 95 0
20 70 20
21 95 20
22 45 38
23 50 35
24 60 35
25 70 40
26 50 40
27 95 40
28 105 35
29 115 35
30 120 35
31 115 40
32 100 35
33 65 35
0 1 no 0
1 2 no 0
2 3 no 0
3 4 no 0
4 5 no 0
5 6 no 0
6 7 no 0
7 8 no 0
8 9 no 0
9 10 no 0
10 11 no 0
11 12 no 0
12 13 no 0
13 14 no 0
14 15 no 0
0 22 no 1
1 23 no 1
2 24 no 1
3 33 no 1
4 20 no 1
5 18 no 1
6 16 no 1
9 17 no 1
10 19 no 1
11 21 no 1
12 32 no 1
13 28 no 1
14 29 no 1
15 30 no 1
7 16 no 1
16 18 no 1
18 20 no 1
20 25 no 1
8 17 no 1
17 19 no 1
19 21 no 1
21 27 no 1
22 23 no 0
23 24 no 0
24 33 no 0
33 25 no 0
25 26 no 0
22 26 no 0
27 32 no 0
28 32 no 0
29 28 no 0
30 29 no 0
31 30 no 0
31 27 no 0
25 27 no 0
