29
44
0 40 80
1 -10 80
2 -20 66
3 -20 52
4 -20 38
5 -20 24
6 -20 10
7 5 10
8 75 10
9 68 24
10 61 38
11 54 52
12 47 66
13 33 66
14 26 52
15 19 38
16 12 24
17 0 0
18 40 0
19 80 0
20 85 -10
21 92 -24
22 75 -38
23 40 -38
24 -14 -38
25 -7 -24
26 0 -10
27 40 -10
28 40 -24
0 1 no 1
1 2 no 0
0 13 no 0
0 12 no 0
2 13 no 1
13 12 no 0
2 3 no 0
13 14 no 0
12 11 no 0
3 14 no 1
14 11 no 1
3 4 no 0
14 15 no 0
11 10 no 0
4 15 no 1
15 10 no 1
4 5 no 0
15 16 no 0
10 9 no 0
5 16 no 1
16 9 no 1
5 6 no 0
16 17 no 0
9 8 no 0
6 7 no 1
7 8 no 1
7 17 no 0
8 19 no 0
17 18 no 1
18 19 no 1
18 27 no 0
19 20 no 0
26 27 no 1
27 20 no 1
26 25 no 0
27 28 no 0
20 21 no 0
25 28 no 1
28 21 no 1
25 24 no 0
28 23 no 0
21 22 no 0
24 23 no 1
23 22 no 1
