38
53
0 0 0
1 10 0
2 20 0
3 30 0
4 40 0
5 50 0
6 60 0
7 0 100
8 10 100
9 20 100
10 30 100
11 40 100
12 50 100
13 60 100
14 70 100
15 80 100
16 90 100
17 100 100
18 110 100
19 120 100
20 70 0
21 80 0
22 90 0
23 100 0
24 110 0
25 120 0
26 130 0
27 140 0
28 150 0
29 160 0
30 170 0
31 180 0
32 130 100
33 140 100
34 150 100
35 160 100
36 170 100
37 180 100
0 1 no 0
1 2 no 0
2 3 no 0
3 4 no 0
4 5 no 0
5 6 no 0
0 7 no 0
1 8 no 1
2 9 no 1
3 10 no 1
4 11 no 1
5 12 no 1
6 13 no 0
7 8 no 0
8 9 no 0
9 10 no 0
10 11 no 0
11 12 no 0
12 13 no 0
13 14 no 0
14 15 no 0
15 16 no 0
16 17 no 0
17 18 no 0
18 19 no 0
14 20 no 0
15 21 no 1
16 22 no 1
17 23 no 1
18 24 no 1
19 25 no 0
20 21 no 0
21 22 no 0
22 23 no 0
23 24 no 0
24 25 no 0
25 26 no 0
26 27 no 0
27 28 no 0
28 29 no 0
29 30 no 0
30 31 no 0
26 32 no 0
27 33 no 1
28 34 no 1
29 35 no 1
30 36 no 1
31 37 no 0
32 33 no 0
33 34 no 0
34 35 no 0
35 36 no 0
36 37 no 0
