27
38
0 0 0
1 20 0
2 40 0
3 60 0
4 80 0
5 100 0
6 120 0
7 140 0
8 15 16
9 35 24
10 55 32
11 75 40
12 95 48
13 115 56
14 135 64
15 240 0
16 138.75 16
17 137.5 32
18 136.25 48
19 240 16
20 240 32
21 240 48
22 240 58
23 210 58
24 210 78
25 160 78
26 160 58
0 1 no 0
1 2 no 0
2 3 no 0
3 4 no 0
4 5 no 0
5 6 no 0
6 7 no 0
0 8 no 0
1 8 no 1
8 9 no 0
9 2 no 1
9 10 no 0
10 3 no 1
10 11 no 0
11 4 no 1
11 12 no 0
12 5 no 1
12 13 no 0
13 6 no 0
13 14 no 0
14 18 no 1
18 17 no 1
17 16 no 1
16 7 no 1
7 15 no 0
16 19 no 1
17 20 no 1
18 21 no 1
15 19 no 0
19 20 no 0
20 21 no 0
21 22 no 0
14 26 no 0
26 23 no 1
22 23 no 0
25 26 no 0
25 24 no 1
24 23 no 0
